Year,Open,High,Low,Close,Adj_Close,Volume
2000,173.5,174.199997,171.300003,173.449997,173.449997,6715543
2001,170.600006,171.75,168,168.550003,168.550003,13410104
2002,169,170.149994,165.100006,166.050003,166.050003,9321842
2003,169,171.949997,168.5,170.949997,170.949997,17650435
2004,173.199997,178.199997,173.199997,175.350006,175.350006,21438351
2005,176.100006,180.5,176.100006,179.949997,179.949997,20128985
2006,181.5,183.600006,180.199997,183.050003,183.050003,17468948
2007,183.649994,186.850006,183.550003,185.75,185.75,16961888
2008,186.550003,187.75,179.399994,180.300003,180.300003,25902974
2009,180.300003,198.300003,177.449997,182.399994,182.399994,18935120
2010,183.300003,185.800003,181.25,185.350006,185.350006,13536578
2011,186,187.350006,184.050003,185.449997,185.449997,11874245
2012,186,187.300003,183.399994,184.899994,184.899994,9365756
2013,185.649994,185.649994,181.300003,183.300003,183.300003,6797621
2014,184.300003,184.949997,180.649994,181.5,181.5,6918258
2015,181.5,181.5,175.949997,180.850006,180.850006,9775717
2016,181.699997,182.699997,178.550003,180.25,180.25,9778926
2017,180,180.300003,173.699997,175.399994,175.399994,13461254
2018,175.949997,178.899994,171.949997,173.25,173.25,12136892
2019,173.300003,175.350006,169.399994,172.300003,172.300003,8167430
2020,172.350006,174.899994,170.899994,173.600006,173.600006,6141180
2021,174.300003,176.75,173.300003,174.600006,174.600006,7757847
2022,175.800003,183.899994,175.800003,181.199997,181.199997,22277646
