time,value
2000,112
2000.25,812.2
2000.5,1244.2
2000.75,594.7
2001,104.7
2001.25,878.7
2001.5,1515.4
2001.75,582
2002,10.7
2002.25,478.4
2002.5,1525.6
2002.75,605.5
2003,52.2
2003.25,465
2003.5,1406.1
2003.75,432.5
2004,90.4
2004.25,583.2
2004.5,1392.2
2004.75,394.2
2005,0
2005.25,376.8
2005.5,1700.4
2005.75,877.5
2006,30.7
2006.25,534
2006.5,1314.9
2006.75,525.2
2007,6.5
2007.25,429.6
2007.5,1793.1
2007.75,518.9
2008,77.6
2008.25,877.3
2008.5,1783.1
2008.75,636.8
2009,30.8
2009.25,493.7
2009.5,1627.1
2009.75,386.9
2010,109.8
2010.25,332.2
2010.5,1797.8
2010.75,917.3
2011,350.7
2011.25,710.7
2011.5,2165
2011.75,601.6
2012,165.6
2012.25,620.5
2012.5,2014
2012.75,697.5
2013,104.7
2013.25,598.6
2013.5,2152.1
2013.75,902.4
2014,50.5
2014.25,249.1
2014.5,1618.7
2014.75,704.2
2015,134.4
2015.25,473.2
2015.5,1678.6
2015.75,618.4
